method,data,type,colums,func,start,end,width,height,errorbound,error,ssim,iterations,totaltime,sqltime
ours,synthetic128m,static,1;2;3;4;5,plus,0,-1,400,600,0,0,0,83,1.730,0.910
ours,synthetic128m,static,1;2;3;4;5,plus,0,-1,600,600,0,0,0,86,2.480,1.360
ours,synthetic128m,static,1;2;3;4;5,plus,0,-1,800,600,0,0,0,87,2.940,1.563
ours,synthetic128m,static,1;2;3;4;5,plus,0,-1,1000,600,0,0,0,93,3.641,1.945
ours,synthetic128m,static,1;2;3;4;5,plus,0,-1,1200,600,0,0,0,89,3.945,2.003
ours,synthetic128m,static,1;2;3;4;5,minus,0,-1,200,600,0,0,0,83,1.221,0.671
ours,synthetic128m,static,1;2;3;4;5,minus,0,-1,400,600,0,0,0,87,1.832,0.994
ours,synthetic128m,static,1;2;3;4;5,minus,0,-1,600,600,0,0,0,87,2.399,1.318
ours,synthetic128m,static,1;2;3;4;5,minus,0,-1,800,600,0,0,0,88,2.943,1.563
ours,synthetic128m,static,1;2;3;4;5,minus,0,-1,1000,600,0,0,0,87,3.540,1.902
ours,synthetic128m,static,1;2;3;4;5,minus,0,-1,1200,600,0,0,0,80,3.693,1.830
ours,synthetic128m,static,1;2;3;4;5,multi,0,-1,200,600,0,0,0,84,0.844,0.397
ours,synthetic128m,static,1;2;3;4;5,multi,0,-1,400,600,0,0,0,88,1.434,0.684
ours,synthetic128m,static,1;2;3;4;5,multi,0,-1,600,600,0,0,0,88,1.891,0.929
ours,synthetic128m,static,1;2;3;4;5,multi,0,-1,800,600,0,0,0,86,2.255,1.053
ours,synthetic128m,static,1;2;3;4;5,multi,0,-1,1000,600,0,0,0,88,2.760,1.313
ours,synthetic128m,static,1;2;3;4;5,multi,0,-1,1200,600,0,0,0,84,3.048,1.416
ours,synthetic128m,static,1;2;3;4;5,devide,0,-1,200,600,0,0,0,55,0.892,0.421
ours,synthetic128m,static,1;2;3;4;5,devide,0,-1,400,600,0,0,0,56,1.294,0.615
ours,synthetic128m,static,1;2;3;4;5,devide,0,-1,600,600,0,0,0,57,1.744,0.858
ours,synthetic128m,static,1;2;3;4;5,devide,0,-1,800,600,0,0,0,55,2.141,1.012
ours,synthetic128m,static,1;2;3;4;5,devide,0,-1,1000,600,0,0,0,56,2.592,1.278
ours,synthetic128m,static,1;2;3;4;5,devide,0,-1,1200,600,0,0,0,48,2.765,1.291
ours,synthetic128m,static,1;2;3;4;5,mean,0,-1,200,600,0,0,0,139,2.589,1.073
ours,synthetic128m,static,1;2;3;4;5,mean,0,-1,400,600,0,0,0,140,4.025,1.559
ours,synthetic128m,static,1;2;3;4;5,mean,0,-1,600,600,0,0,0,144,5.688,2.215
ours,synthetic128m,static,1;2;3;4;5,mean,0,-1,800,600,0,0,0,142,7.272,2.780
ours,synthetic128m,static,1;2;3;4;5,mean,0,-1,1000,600,0,0,0,152,9.033,3.425
ours,synthetic128m,static,1;2;3;4;5,mean,0,-1,1200,600,0,0,0,154,10.304,3.850
ours,synthetic128m,static,1;2;3;4;5,variance,0,-1,200,600,0,0,0,133,2.485,0.984
ours,synthetic128m,static,1;2;3;4;5,variance,0,-1,400,600,0,0,0,138,3.811,1.467
ours,synthetic128m,static,1;2;3;4;5,variance,0,-1,600,600,0,0,0,142,5.399,2.093
ours,synthetic128m,static,1;2;3;4;5,variance,0,-1,800,600,0,0,0,136,6.659,2.545
ours,synthetic128m,static,1;2;3;4;5,variance,0,-1,1000,600,0,0,0,138,8.246,3.182
ours,synthetic128m,static,1;2;3;4;5,variance,0,-1,1200,600,0,0,0,144,9.074,3.257
ours,synthetic128m,static,1;2;3;4;5,max,0,-1,200,600,0,0,0,34,0.990,0.258
ours,synthetic128m,static,1;2;3;4;5,max,0,-1,400,600,0,0,0,31,1.187,0.284
ours,synthetic128m,static,1;2;3;4;5,max,0,-1,600,600,0,0,0,33,1.559,0.534
ours,synthetic128m,static,1;2;3;4;5,max,0,-1,800,600,0,0,0,37,1.840,0.663
ours,synthetic128m,static,1;2;3;4;5,max,0,-1,1000,600,0,0,0,36,2.037,0.721
ours,synthetic128m,static,1;2;3;4;5,max,0,-1,1200,600,0,0,0,36,2.277,0.807
ours,synthetic128m,static,1;2;3;4;5,L2,0,-1,200,600,0,0,0,116,2.026,0.752
ours,synthetic128m,static,1;2;3;4;5,L2,0,-1,400,600,0,0,0,122,3.156,1.166
ours,synthetic128m,static,1;2;3;4;5,L2,0,-1,600,600,0,0,0,122,4.404,1.680
ours,synthetic128m,static,1;2;3;4;5,L2,0,-1,800,600,0,0,0,117,5.444,2.036
ours,synthetic128m,static,1;2;3;4;5,L2,0,-1,1000,600,0,0,0,125,6.762,2.558
ours,synthetic128m,static,1;2;3;4;5,L2,0,-1,1200,600,0,0,0,130,7.621,2.732
ours,synthetic128m,static,1;2;3;4;5,weightsum,0,-1,200,600,0,0,0,121,2.213,0.892
ours,synthetic128m,static,1;2;3;4;5,weightsum,0,-1,400,600,0,0,0,127,3.449,1.324
ours,synthetic128m,static,1;2;3;4;5,weightsum,0,-1,600,600,0,0,0,133,4.356,1.639
ours,synthetic128m,static,1;2;3;4;5,weightsum,0,-1,800,600,0,0,0,122,5.795,2.229
ours,synthetic128m,static,1;2;3;4;5,weightsum,0,-1,1000,600,0,0,0,114,6.950,2.641
ours,synthetic128m,static,1;2;3;4;5,weightsum,0,-1,1200,600,0,0,0,127,7.789,2.821
ours,synthetic128m,static,1;2;3;4;5,func4,0,-1,200,600,0,0,0,408,6.228,3.498
ours,synthetic128m,static,1;2;3;4;5,func4,0,-1,400,600,0,0,0,840,20.455,11.013
ours,synthetic128m,static,1;2;3;4;5,func4,0,-1,600,600,0,0,0,1021,31.073,15.561
ours,synthetic128m,static,1;2;3;4;5,func4,0,-1,800,600,0,0,0,1183,43.221,20.778
ours,synthetic128m,static,1;2;3;4;5,func4,0,-1,1000,600,0,0,0,1196,52.835,24.343
ours,synthetic128m,static,1;2;3;4;5,func4,0,-1,1200,600,0,0,0,1232,62.533,28.711
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,func1,0,-1,200,600,0,0,0,15,0.167,0.110
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,func1,0,-1,400,600,0,0,0,14,0.230,0.125
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,func1,0,-1,600,600,0,0,0,14,0.316,0.171
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,func1,0,-1,800,600,0,0,0,13,0.388,0.192
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,func1,0,-1,1000,600,0,0,0,13,0.462,0.223
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,func1,0,-1,1200,600,0,0,0,13,0.536,0.259
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,boxcox0,0,-1,200,600,0,0,0,0,0.056,0.028
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,boxcox0,0,-1,400,600,0,0,0,0,0.150,0.081
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,boxcox0,0,-1,600,600,0,0,0,0,0.125,0.069
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,boxcox0,0,-1,800,600,0,0,0,0,0.149,0.073
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,boxcox0,0,-1,1000,600,0,0,0,0,0.232,0.094
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,boxcox0,0,-1,1200,600,0,0,0,0,0.193,0.097
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,plus,0,-1,200,600,0,0,0,79,0.860,0.603
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,plus,0,-1,400,600,0,0,0,98,1.043,0.595
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,plus,0,-1,600,600,0,0,0,93,1.073,0.579
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,plus,0,-1,800,600,0,0,0,95,1.340,0.707
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,plus,0,-1,1000,600,0,0,0,87,1.548,0.755
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,plus,0,-1,1200,600,0,0,0,87,1.713,0.800
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,minus,0,-1,200,600,0,0,0,51,0.491,0.327
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,minus,0,-1,400,600,0,0,0,62,0.694,0.406
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,minus,0,-1,600,600,0,0,0,64,0.875,0.457
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,minus,0,-1,800,600,0,0,0,62,1.067,0.540
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,minus,0,-1,1000,600,0,0,0,67,1.196,0.573
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,minus,0,-1,1200,600,0,0,0,70,1.360,0.619
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,multi,0,-1,200,600,0,0,0,155,1.488,0.981
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,multi,0,-1,400,600,0,0,0,165,1.740,1.021
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,multi,0,-1,600,600,0,0,0,156,2.053,1.111
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,multi,0,-1,800,600,0,0,0,159,2.307,1.149
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,multi,0,-1,1000,600,0,0,0,151,2.511,1.219
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,multi,0,-1,1200,600,0,0,0,141,2.837,1.282
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,devide,0,-1,200,600,0,0,0,95,0.682,0.464
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,devide,0,-1,400,600,0,0,0,132,1.219,0.759
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,devide,0,-1,600,600,0,0,0,135,1.609,0.937
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,devide,0,-1,800,600,0,0,0,152,1.973,1.096
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,devide,0,-1,1000,600,0,0,0,155,2.065,1.021
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,devide,0,-1,1200,600,0,0,0,158,2.340,1.131
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,mean,0,-1,200,600,0,0,0,140,3.783,1.845
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,mean,0,-1,400,600,0,0,0,127,4.709,1.833
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,mean,0,-1,600,600,0,0,0,109,5.564,1.945
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,mean,0,-1,800,600,0,0,0,111,5.522,1.908
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,mean,0,-1,1000,600,0,0,0,103,7.364,2.241
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,mean,0,-1,1200,600,0,0,0,100,8.471,2.429
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,variance,0,-1,200,600,0,0,0,97,1.768,0.686
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,variance,0,-1,400,600,0,0,0,82,2.306,0.730
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,variance,0,-1,600,600,0,0,0,85,3.087,0.885
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,variance,0,-1,800,600,0,0,0,74,3.281,0.915
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,variance,0,-1,1000,600,0,0,0,65,3.120,0.942
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,variance,0,-1,1200,600,0,0,0,70,3.711,1.093
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,max,0,-1,200,600,0,0,0,60,0.669,0.320
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,max,0,-1,400,600,0,0,0,66,1.075,0.418
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,max,0,-1,600,600,0,0,0,64,1.369,0.462
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,max,0,-1,800,600,0,0,0,61,1.294,0.463
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,max,0,-1,1000,600,0,0,0,52,1.636,0.537
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,max,0,-1,1200,600,0,0,0,65,2.402,0.658
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,L2,0,-1,200,600,0,0,0,105,1.510,0.693
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,L2,0,-1,400,600,0,0,0,97,2.204,0.821
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,L2,0,-1,600,600,0,0,0,84,2.770,0.896
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,L2,0,-1,800,600,0,0,0,81,3.392,1.009
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,L2,0,-1,1000,600,0,0,0,76,4.069,1.080
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,L2,0,-1,1200,600,0,0,0,74,4.230,1.145
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,weightsum,0,-1,200,600,0,0,0,79,1.340,0.632
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,weightsum,0,-1,400,600,0,0,0,78,2.080,0.757
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,weightsum,0,-1,600,600,0,0,0,68,2.621,0.847
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,weightsum,0,-1,800,600,0,0,0,71,3.166,0.986
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,weightsum,0,-1,1000,600,0,0,0,70,3.872,1.104
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,weightsum,0,-1,1200,600,0,0,0,69,4.399,1.212
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,func4,0,-1,200,600,0,0,0,128,1.377,0.977
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,func4,0,-1,400,600,0,0,0,140,1.716,1.071
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,func4,0,-1,600,600,0,0,0,135,1.896,1.102
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,func4,0,-1,800,600,0,0,0,137,2.121,1.097
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,func4,0,-1,1000,600,0,0,0,133,2.300,1.154
ours,nycdata,static,7;9;1;2;3;4;5;6;8;10;11,func4,0,-1,1200,600,0,0,0,128,2.399,1.177
ours,soccerdata,static,5;3;1;2;4;6,func1,0,-1,200,600,0,0,0,0,0.068,0.044
ours,soccerdata,static,5;3;1;2;4;6,func1,0,-1,400,600,0,0,0,0,0.103,0.058
ours,soccerdata,static,5;3;1;2;4;6,func1,0,-1,600,600,0,0,0,0,0.133,0.070
ours,soccerdata,static,5;3;1;2;4;6,func1,0,-1,800,600,0,0,0,0,0.155,0.078
ours,soccerdata,static,5;3;1;2;4;6,func1,0,-1,1000,600,0,0,0,0,0.161,0.078
ours,soccerdata,static,5;3;1;2;4;6,func1,0,-1,1200,600,0,0,0,0,0.182,0.086
ours,soccerdata,static,5;3;1;2;4;6,boxcox0,0,-1,200,600,0,0,0,0,0.034,0.015
ours,soccerdata,static,5;3;1;2;4;6,boxcox0,0,-1,400,600,0,0,0,0,0.074,0.039
ours,soccerdata,static,5;3;1;2;4;6,boxcox0,0,-1,600,600,0,0,0,0,0.093,0.051
ours,soccerdata,static,5;3;1;2;4;6,boxcox0,0,-1,800,600,0,0,0,0,0.148,0.079
ours,soccerdata,static,5;3;1;2;4;6,boxcox0,0,-1,1000,600,0,0,0,0,0.150,0.089
ours,soccerdata,static,5;3;1;2;4;6,boxcox0,0,-1,1200,600,0,0,0,0,0.176,0.083
ours,soccerdata,static,5;3;1;2;4;6,plus,0,-1,200,600,0,0,0,33,0.307,0.185
ours,soccerdata,static,5;3;1;2;4;6,plus,0,-1,400,600,0,0,0,48,0.533,0.287
ours,soccerdata,static,5;3;1;2;4;6,plus,0,-1,600,600,0,0,0,47,0.709,0.368
ours,soccerdata,static,5;3;1;2;4;6,plus,0,-1,800,600,0,0,0,42,0.859,0.437
ours,soccerdata,static,5;3;1;2;4;6,plus,0,-1,1000,600,0,0,0,41,1.054,0.502
ours,soccerdata,static,5;3;1;2;4;6,plus,0,-1,1200,600,0,0,0,34,1.127,0.519
ours,soccerdata,static,5;3;1;2;4;6,minus,0,-1,200,600,0,0,0,60,0.561,0.337
ours,soccerdata,static,5;3;1;2;4;6,minus,0,-1,400,600,0,0,0,51,0.686,0.365
ours,soccerdata,static,5;3;1;2;4;6,minus,0,-1,600,600,0,0,0,54,0.934,0.492
ours,soccerdata,static,5;3;1;2;4;6,minus,0,-1,800,600,0,0,0,45,1.098,0.542
ours,soccerdata,static,5;3;1;2;4;6,minus,0,-1,1000,600,0,0,0,45,1.271,0.613
ours,soccerdata,static,5;3;1;2;4;6,minus,0,-1,1200,600,0,0,0,46,1.458,0.664
ours,soccerdata,static,5;3;1;2;4;6,multi,0,-1,200,600,0,0,0,32,0.390,0.225
ours,soccerdata,static,5;3;1;2;4;6,multi,0,-1,400,600,0,0,0,34,0.589,0.322
ours,soccerdata,static,5;3;1;2;4;6,multi,0,-1,600,600,0,0,0,37,0.909,0.457
ours,soccerdata,static,5;3;1;2;4;6,multi,0,-1,800,600,0,0,0,42,1.168,0.595
ours,soccerdata,static,5;3;1;2;4;6,multi,0,-1,1000,600,0,0,0,39,1.346,0.641
ours,soccerdata,static,5;3;1;2;4;6,multi,0,-1,1200,600,0,0,0,36,1.583,0.701
ours,soccerdata,static,5;3;1;2;4;6,devide,0,-1,200,600,0,0,0,97,2.442,1.656
ours,soccerdata,static,5;3;1;2;4;6,devide,0,-1,400,600,0,0,0,121,3.186,1.990
ours,soccerdata,static,5;3;1;2;4;6,devide,0,-1,600,600,0,0,0,131,3.885,2.231
ours,soccerdata,static,5;3;1;2;4;6,devide,0,-1,800,600,0,0,0,140,4.055,2.177
ours,soccerdata,static,5;3;1;2;4;6,devide,0,-1,1000,600,0,0,0,148,4.685,2.493
ours,soccerdata,static,5;3;1;2;4;6,devide,0,-1,1200,600,0,0,0,156,4.862,2.351
ours,soccerdata,static,5;3;1;2;4;6,mean,0,-1,200,600,0,0,0,252,4.615,2.613
ours,soccerdata,static,5;3;1;2;4;6,mean,0,-1,400,600,0,0,0,262,5.677,2.899
ours,soccerdata,static,5;3;1;2;4;6,mean,0,-1,600,600,0,0,0,273,5.441,2.495
ours,soccerdata,static,5;3;1;2;4;6,mean,0,-1,800,600,0,0,0,255,6.493,2.867
ours,soccerdata,static,5;3;1;2;4;6,mean,0,-1,1000,600,0,0,0,238,8.313,3.495
ours,soccerdata,static,5;3;1;2;4;6,mean,0,-1,1200,600,0,0,0,239,9.083,3.539
ours,soccerdata,static,5;3;1;2;4;6,variance,0,-1,200,600,0,0,0,19,0.559,0.250
ours,soccerdata,static,5;3;1;2;4;6,variance,0,-1,400,600,0,0,0,21,0.896,0.344
ours,soccerdata,static,5;3;1;2;4;6,variance,0,-1,600,600,0,0,0,24,1.303,0.487
ours,soccerdata,static,5;3;1;2;4;6,variance,0,-1,800,600,0,0,0,21,1.635,0.576
ours,soccerdata,static,5;3;1;2;4;6,variance,0,-1,1000,600,0,0,0,21,1.993,0.665
ours,soccerdata,static,5;3;1;2;4;6,variance,0,-1,1200,600,0,0,0,20,2.430,0.747
ours,soccerdata,static,5;3;1;2;4;6,max,0,-1,200,600,0,0,0,240,3.198,1.868
ours,soccerdata,static,5;3;1;2;4;6,max,0,-1,400,600,0,0,0,256,3.443,1.783
ours,soccerdata,static,5;3;1;2;4;6,max,0,-1,600,600,0,0,0,224,3.784,1.822
ours,soccerdata,static,5;3;1;2;4;6,max,0,-1,800,600,0,0,0,250,4.496,2.083
ours,soccerdata,static,5;3;1;2;4;6,max,0,-1,1000,600,0,0,0,256,4.949,2.223
ours,soccerdata,static,5;3;1;2;4;6,max,0,-1,1200,600,0,0,0,193,5.154,2.094
ours,soccerdata,static,5;3;1;2;4;6,L2,0,-1,200,600,0,0,0,251,3.751,2.120
ours,soccerdata,static,5;3;1;2;4;6,L2,0,-1,400,600,0,0,0,260,4.840,2.483
ours,soccerdata,static,5;3;1;2;4;6,L2,0,-1,600,600,0,0,0,278,5.807,2.866
ours,soccerdata,static,5;3;1;2;4;6,L2,0,-1,800,600,0,0,0,258,6.368,2.897
ours,soccerdata,static,5;3;1;2;4;6,L2,0,-1,1000,600,0,0,0,254,7.036,2.875
ours,soccerdata,static,5;3;1;2;4;6,L2,0,-1,1200,600,0,0,0,240,7.385,2.856
ours,soccerdata,static,5;3;1;2;4;6,weightsum,0,-1,200,600,0,0,0,225,3.054,1.738
ours,soccerdata,static,5;3;1;2;4;6,weightsum,0,-1,400,600,0,0,0,207,3.707,1.860
ours,soccerdata,static,5;3;1;2;4;6,weightsum,0,-1,600,600,0,0,0,213,4.840,2.371
ours,soccerdata,static,5;3;1;2;4;6,weightsum,0,-1,800,600,0,0,0,206,5.163,2.301
ours,soccerdata,static,5;3;1;2;4;6,weightsum,0,-1,1000,600,0,0,0,196,6.148,2.440
ours,soccerdata,static,5;3;1;2;4;6,weightsum,0,-1,1200,600,0,0,0,184,6.950,2.641
ours,soccerdata,static,5;3;1;2;4;6,func4,0,-1,200,600,0,0,0,234,2.389,1.272
ours,soccerdata,static,5;3;1;2;4;6,func4,0,-1,400,600,0,0,0,255,3.112,1.525
ours,soccerdata,static,5;3;1;2;4;6,func4,0,-1,600,600,0,0,0,278,4.336,2.026
ours,soccerdata,static,5;3;1;2;4;6,func4,0,-1,800,600,0,0,0,204,4.510,1.988
ours,soccerdata,static,5;3;1;2;4;6,func4,0,-1,1000,600,0,0,0,203,5.950,2.359
ours,soccerdata,static,5;3;1;2;4;6,func4,0,-1,1200,600,0,0,0,255,8.042,3.206
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func1,0,-1,200,600,0,0,0,0,0.041,0.031
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func1,0,-1,400,600,0,0,0,0,0.062,0.039
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func1,0,-1,600,600,0,0,0,0,0.086,0.050
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func1,0,-1,800,600,0,0,0,0,0.116,0.054
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func1,0,-1,1000,600,0,0,0,0,0.138,0.064
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func1,0,-1,1200,600,0,0,0,0,0.142,0.084
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,boxcox0,0,-1,200,600,0,0,0,0,0.025,0.017
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,boxcox0,0,-1,400,600,0,0,0,0,0.043,0.027
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,boxcox0,0,-1,600,600,0,0,0,0,0.070,0.041
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,boxcox0,0,-1,800,600,0,0,0,0,0.103,0.052
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,boxcox0,0,-1,1000,600,0,0,0,0,0.108,0.056
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,boxcox0,0,-1,1200,600,0,0,0,0,0.142,0.086
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,plus,0,-1,200,600,0,0,0,9,0.109,0.065
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,plus,0,-1,400,600,0,0,0,11,0.190,0.106
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,plus,0,-1,600,600,0,0,0,10,0.280,0.146
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,plus,0,-1,800,600,0,0,0,11,0.385,0.183
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,plus,0,-1,1000,600,0,0,0,10,0.457,0.215
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,plus,0,-1,1200,600,0,0,0,10,0.514,0.237
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,minus,0,-1,200,600,0,0,0,9,0.137,0.083
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,minus,0,-1,400,600,0,0,0,11,0.242,0.127
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,minus,0,-1,600,600,0,0,0,9,0.311,0.156
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,minus,0,-1,800,600,0,0,0,11,0.371,0.187
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,minus,0,-1,1000,600,0,0,0,10,0.453,0.212
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,minus,0,-1,1200,600,0,0,0,10,0.527,0.241
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,multi,0,-1,200,600,0,0,0,12,0.130,0.080
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,multi,0,-1,400,600,0,0,0,11,0.238,0.130
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,multi,0,-1,600,600,0,0,0,13,0.328,0.169
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,multi,0,-1,800,600,0,0,0,11,0.363,0.181
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,multi,0,-1,1000,600,0,0,0,10,0.445,0.204
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,multi,0,-1,1200,600,0,0,0,12,0.554,0.231
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,devide,0,-1,200,600,0,0,0,69,0.481,0.355
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,devide,0,-1,400,600,0,0,0,76,0.662,0.404
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,devide,0,-1,600,600,0,0,0,70,0.734,0.405
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,devide,0,-1,800,600,0,0,0,75,0.832,0.442
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,devide,0,-1,1000,600,0,0,0,69,0.855,0.415
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,devide,0,-1,1200,600,0,0,0,70,0.893,0.435
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,mean,0,-1,200,600,0,0,0,87,1.017,0.511
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,mean,0,-1,400,600,0,0,0,65,1.486,0.597
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,mean,0,-1,600,600,0,0,0,63,2.159,0.750
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,mean,0,-1,800,600,0,0,0,56,2.581,0.831
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,mean,0,-1,1000,600,0,0,0,45,2.284,0.770
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,mean,0,-1,1200,600,0,0,0,52,2.447,0.908
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,variance,0,-1,200,600,0,0,0,17,0.379,0.177
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,variance,0,-1,400,600,0,0,0,18,0.674,0.269
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,variance,0,-1,600,600,0,0,0,18,0.993,0.355
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,variance,0,-1,800,600,0,0,0,16,1.139,0.392
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,variance,0,-1,1000,600,0,0,0,10,1.113,0.346
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,variance,0,-1,1200,600,0,0,0,10,1.348,0.420
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,max,0,-1,200,600,0,0,0,10,0.206,0.108
