method,data,type,colums,func,start,end,width,height,errorbound,error,ssim,iterations,totaltime,sqltime
ours,sensordata,static,5;4;3;2;1;7;6,L2,0,-1,800,600,0.1,0,0,1,0.704,0.165
ours,sensordata,static,5;4;3;2;1;7;6,L2,0,-1,1000,600,0.1,0,0,1,0.823,0.210
ours,sensordata,static,5;4;3;2;1;7;6,L2,0,-1,1200,600,0.1,0,0,1,0.984,0.229
ours,sensordata,static,5;4;3;2;1;7;6,weightsum,0,-1,200,600,0.1,0,0,1,0.389,0.069
ours,sensordata,static,5;4;3;2;1;7;6,weightsum,0,-1,400,600,0.1,0,0,1,0.514,0.120
ours,sensordata,static,5;4;3;2;1;7;6,weightsum,0,-1,600,600,0.1,0,0,1,0.613,0.144
ours,sensordata,static,5;4;3;2;1;7;6,weightsum,0,-1,800,600,0.1,0,0,1,0.708,0.168
ours,sensordata,static,5;4;3;2;1;7;6,weightsum,0,-1,1000,600,0.1,0,0,1,0.909,0.214
ours,sensordata,static,5;4;3;2;1;7;6,weightsum,0,-1,1200,600,0.1,0,0,1,1.035,0.245
ours,soccerdata,static,5;3;1;2;4;6,func1,0,-1,200,600,0.1,0,0,0,0.582,0.562
ours,soccerdata,static,5;3;1;2;4;6,func1,0,-1,400,600,0.1,0,0,0,0.525,0.472
ours,soccerdata,static,5;3;1;2;4;6,func1,0,-1,600,600,0.1,0,0,0,0.853,0.787
ours,soccerdata,static,5;3;1;2;4;6,func1,0,-1,800,600,0.1,0,0,0,0.883,0.786
ours,soccerdata,static,5;3;1;2;4;6,func1,0,-1,1000,600,0.1,0,0,0,1.425,1.328
ours,soccerdata,static,5;3;1;2;4;6,func1,0,-1,1200,600,0.1,0,0,0,0.763,0.625
ours,soccerdata,static,5;3;1;2;4;6,boxcox0,0,-1,200,600,0.1,0,0,0,0.056,0.028
ours,soccerdata,static,5;3;1;2;4;6,boxcox0,0,-1,400,600,0.1,0,0,0,0.089,0.047
ours,soccerdata,static,5;3;1;2;4;6,boxcox0,0,-1,600,600,0.1,0,0,0,0.121,0.063
ours,soccerdata,static,5;3;1;2;4;6,boxcox0,0,-1,800,600,0.1,0,0,0,0.212,0.122
ours,soccerdata,static,5;3;1;2;4;6,boxcox0,0,-1,1000,600,0.1,0,0,0,0.165,0.097
ours,soccerdata,static,5;3;1;2;4;6,boxcox0,0,-1,1200,600,0.1,0,0,0,0.182,0.085
ours,soccerdata,static,5;3;1;2;4;6,plus,0,-1,200,600,0.1,0,0,8,0.480,0.390
ours,soccerdata,static,5;3;1;2;4;6,plus,0,-1,400,600,0.1,0,0,10,0.701,0.469
ours,soccerdata,static,5;3;1;2;4;6,plus,0,-1,600,600,0.1,0,0,10,0.858,0.594
ours,soccerdata,static,5;3;1;2;4;6,plus,0,-1,800,600,0.1,0,0,10,0.999,0.657
ours,soccerdata,static,5;3;1;2;4;6,plus,0,-1,1000,600,0.1,0,0,8,1.143,0.733
ours,soccerdata,static,5;3;1;2;4;6,plus,0,-1,1200,600,0.1,0,0,10,1.156,0.676
ours,soccerdata,static,5;3;1;2;4;6,minus,0,-1,200,600,0.1,0,0,8,0.241,0.137
ours,soccerdata,static,5;3;1;2;4;6,minus,0,-1,400,600,0.1,0,0,10,0.377,0.204
ours,soccerdata,static,5;3;1;2;4;6,minus,0,-1,600,600,0.1,0,0,10,0.496,0.268
ours,soccerdata,static,5;3;1;2;4;6,minus,0,-1,800,600,0.1,0,0,9,0.656,0.348
ours,soccerdata,static,5;3;1;2;4;6,minus,0,-1,1000,600,0.1,0,0,9,0.810,0.434
ours,soccerdata,static,5;3;1;2;4;6,minus,0,-1,1200,600,0.1,0,0,9,0.920,0.459
ours,soccerdata,static,5;3;1;2;4;6,multi,0,-1,200,600,0.1,0,0,7,0.281,0.179
ours,soccerdata,static,5;3;1;2;4;6,multi,0,-1,400,600,0.1,0,0,8,0.380,0.214
ours,soccerdata,static,5;3;1;2;4;6,multi,0,-1,600,600,0.1,0,0,8,0.531,0.301
ours,soccerdata,static,5;3;1;2;4;6,multi,0,-1,800,600,0.1,0,0,1,0.335,0.154
ours,soccerdata,static,5;3;1;2;4;6,multi,0,-1,1000,600,0.1,0,0,1,0.260,0.118
ours,soccerdata,static,5;3;1;2;4;6,multi,0,-1,1200,600,0.1,0,0,1,0.329,0.136
ours,soccerdata,static,5;3;1;2;4;6,devide,0,-1,200,600,0.1,0,0,75,1.032,0.689
ours,soccerdata,static,5;3;1;2;4;6,devide,0,-1,400,600,0.1,0,0,52,1.156,0.686
ours,soccerdata,static,5;3;1;2;4;6,devide,0,-1,600,600,0.1,0,0,41,1.454,0.816
